             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          16469924      cron jaws_nmd   nmjaws PD       0:00      1 (Dependency)
          16450458      cron jaws_per     jaws PD       0:00      1 (Dependency)
          16448248      cron jaws_nmd   nmjaws PD       0:00      1 (Dependency)
          16441669      cron jaws_per     jaws PD       0:00      1 (Dependency)
          16429048      cron jaws_per     jaws PD       0:00      1 (Dependency)
          16313450      cron jaws_cle     jaws PD       0:00      1 (Dependency)
          16313449      cron jaws_cle     jaws PD       0:00      1 (Dependency)
          15917708      cron jaws_per     jaws PD       0:00      1 (Dependency)
          15842732      cron jaws_per     jaws PD       0:00      1 (Dependency)
          15620939      cron /global/   nmjaws PD       0:00      1 (None)
           8612884      cron /global/      mjd PD       0:00      1 (None)
           8406623      cron /global/     gfil PD       0:00      1 (None)
           5360505      cron       cd abelo999 PD       0:00      1 (InvalidQOS)
           8151839      cron $HOME/te siddiq90 PD       0:00      1 (launch failed requeued held)
          15120374      cron long_run   tylern  R   20:52:16      1 login10
          14781824      cron lz_post_   lzdata  R   20:52:15      1 login14
          15566992      cron /global/  usatlas  R 2-20:52:01      1 login05
          15434469      cron jaws_nmd   nmjaws  R 2-20:50:38      1 login08
          15120372      cron   canary   tylern  R       1:54      1 login01
          16439605      cron /bin/bas rsanspeu  R       6:58      1 login02
          16535790      cron jaws_per     jaws  R      16:15      1 login05
          14422418      cron scron_pt sjbailey  R      16:17      1 login06
          14589905      cron /global/     desc  R    1:07:27      1 login07
          15120373      cron test_kil   tylern  R    1:42:42      1 login02
          15620940      cron jaws_nmd   nmjaws  R    1:57:01      1 login10
           9553528      cron cromwell kbaserun  R    2:30:15      1 login13
           9553529      cron cromwell kbaserun  R    2:30:15      1 login13
           5976741      cron /global/ rerunner  R    3:47:29      1 login02
          16511738      cron scan_fee lgerhard  R    5:12:05      1 login06
          16510224      cron jaws_per     jaws  R    6:21:48      1 login11
          16510192      cron jaws_nmd   nmjaws  R    6:23:54      1 login05
          16508628      cron /global/   nmdcda  R    7:15:00      1 login09
          16509517      cron emmet-ta      tsm  R    7:15:00      1 login09
          16509504      cron emmet-ta      tsm  R    7:16:49      1 login15
          16509452      cron emmet-ta      tsm  R    7:19:20      1 login12
          16509431      cron emmet-ta      tsm  R    7:21:48      1 login14
          16508629      cron /global/   nmdcda  R    7:38:22      1 login07
          16313444      cron jaws_per     jaws  R    8:32:21      1 login15
          16313443      cron jaws_per     jaws  R   20:36:02      1 login10
          16445090      cron scron_nw     desi  R   20:42:14      1 login13
          10778925      cron /global/  ahimmel  R   20:53:17      1 login13
